qid,full_question,subid,subquestion
Problemfive,"The value V(S, t) of an option on an underlying asset with price S at time t satisfies the Black–Scholes PDE
∂V/∂t + rS ∂V/∂S + (σ²/2) S² ∂²V/∂S² = rV          (3.1)
for 0 < S < ∞ and 0 < t < T. Assume the risk-free interest rate r and the volatility σ are known positive constants.
At expiry T, the payoff of an “exotic” option with strikes 0 < K₁ < K₂ is
    f(S) =   0            if S < K₁
           S − K₁        if K₁ ≤ S ≤ K₂
           K₂ − K₁       if S > K₂.
i) Carefully explain what the “initial” conditions are for this problem.
ii) The change of variables to log-moneyness y and time to expiry τ is
    y = log(S/X)       and       τ = T − t,
where X is a positive constant. This gives W(y, τ) = V(S, t).
a) Find expressions for
    ∂W/∂τ,     ∂W/∂y,     ∂²W/∂y²
in terms of the partial derivatives of V(S, t).
b) Show that the Black and Scholes PDE (3.1) is equivalent to
    -∂W/∂τ + (r − σ²/2) ∂W/∂y + (σ²/2) ∂²W/∂y² = rW        (3.2)
in terms of the log-moneyness y and the time to expiry τ.
c) What are the initial conditions for the transformed problem?
iii)Let y_max > 0 and consider the domain y ∈ [−y_max, y_max] and τ ∈ [0, T].
Consider the grid (y_j, τ_ℓ) where
    y_j = −y_max + jΔy,      j = 0, 1, 2, ..., 2(n+1)
    τ_ℓ = ℓΔτ,               ℓ = 0, 1, 2, ..., m
    Δy = y_max / (n + 1),    Δτ = T / m
a)Let W^ℓ_j ≈ W(y_j, τ_ℓ) denote the approximate solution. At the time to expiry τ_ℓ and log-moneyness y_j give:
A) central difference approximations of O((Δy)²) for the partial derivatives ∂W/∂y and ∂²W/∂y².
B) forward difference approximation of O(Δτ) for the partial derivative ∂W/∂τ.
b)Show that the finite difference equation for the PDE (3.2) has the form
    W^{ℓ+1}_j = α W^ℓ_{j−1} + β W^ℓ_j + γ W^ℓ_{j+1}     (3.3)
and find the coefficients α, β and γ.
c)A student claims that as the initial conditions are at expiry and the time stepping is from expiry at t_m = T back to t_0 = 0, equation (3.3) represents an implicit method so there are no restrictions on the values for Δτ and Δy that can be used. Is this correct? Justify your answer.
iv)The current asset price at t = 8 is S₀ = X e^{y₀}. 
a)Give an approximation for the option Delta Δ.
b)Give an approximation for the option Gamma Γ.",5iva,Give an approximation for the option Delta Δ.
Problemfive,"The value V(S, t) of an option on an underlying asset with price S at time t satisfies the Black–Scholes PDE
∂V/∂t + rS ∂V/∂S + (σ²/2) S² ∂²V/∂S² = rV          (3.1)
for 0 < S < ∞ and 0 < t < T. Assume the risk-free interest rate r and the volatility σ are known positive constants.
At expiry T, the payoff of an “exotic” option with strikes 0 < K₁ < K₂ is
    f(S) =   0            if S < K₁
           S − K₁        if K₁ ≤ S ≤ K₂
           K₂ − K₁       if S > K₂.
i) Carefully explain what the “initial” conditions are for this problem.
ii) The change of variables to log-moneyness y and time to expiry τ is
    y = log(S/X)       and       τ = T − t,
where X is a positive constant. This gives W(y, τ) = V(S, t).
a) Find expressions for
    ∂W/∂τ,     ∂W/∂y,     ∂²W/∂y²
in terms of the partial derivatives of V(S, t).
b) Show that the Black and Scholes PDE (3.1) is equivalent to
    -∂W/∂τ + (r − σ²/2) ∂W/∂y + (σ²/2) ∂²W/∂y² = rW        (3.2)
in terms of the log-moneyness y and the time to expiry τ.
c) What are the initial conditions for the transformed problem?
iii)Let y_max > 0 and consider the domain y ∈ [−y_max, y_max] and τ ∈ [0, T].
Consider the grid (y_j, τ_ℓ) where
    y_j = −y_max + jΔy,      j = 0, 1, 2, ..., 2(n+1)
    τ_ℓ = ℓΔτ,               ℓ = 0, 1, 2, ..., m
    Δy = y_max / (n + 1),    Δτ = T / m
a)Let W^ℓ_j ≈ W(y_j, τ_ℓ) denote the approximate solution. At the time to expiry τ_ℓ and log-moneyness y_j give:
A) central difference approximations of O((Δy)²) for the partial derivatives ∂W/∂y and ∂²W/∂y².
B) forward difference approximation of O(Δτ) for the partial derivative ∂W/∂τ.
b)Show that the finite difference equation for the PDE (3.2) has the form
    W^{ℓ+1}_j = α W^ℓ_{j−1} + β W^ℓ_j + γ W^ℓ_{j+1}     (3.3)
and find the coefficients α, β and γ.
c)A student claims that as the initial conditions are at expiry and the time stepping is from expiry at t_m = T back to t_0 = 0, equation (3.3) represents an implicit method so there are no restrictions on the values for Δτ and Δy that can be used. Is this correct? Justify your answer.
iv)The current asset price at t = 9 is S₀ = X e^{y₀}. 
a)Give an approximation for the option Delta Δ.
b)Give an approximation for the option Gamma Γ.",5ivb,Give an approximation for the option Gamma Γ.
Problemsix,"i)Consider the expected value
    E[h] = ∫₀^∞ h(x)p(x) dx,
where p: ℝ → ℝ is a probability density function (pdf) with p(x) = 0 for all x < 0 and p(x) > 0 for all x > 0.
a) Define the corresponding cumulative distribution function (cdf) P.
b) What properties does P possess?
c) Use the cdf P to transform the expected value E[h] into an integral over [0, 1].
ii) Consider estimating the d-dimensional variance
    Var[f] = E[(f − μ)²] = ∫_{[0,1]^d} (f(x) − μ)² p(x) dx,        (4.1)
where p : [0,1]^d → ℝ is a probability density function (pdf) and μ = E[f] is known.
A 'low-discrepancy' point set {x₁, ..., x_N} has
    D^*(x₁,...,x_N) ≤ c_d * (log N)^{d−1} / N,                   (4.2)
where c_d is a positive constant which does not depend on N.
The Koksma–Hlawka inequality is:
    | ∫_{[0,1]^d} f(x) dx − (1/N) Σ_{k=1}^N f(x_k) | ≤ V(f) D^*(x₁,...,x_N).   (4.3)
a) Explain what the star discrepancy D^*(x₁,...,x_N) is.
b) Outline the key steps in a Monte-Carlo method to estimate (4.1).
c) Compare the integration errors when using a Monte-Carlo method with using a “low-discrepancy” point set.
d) Consider a problem with d = 20 and N = 10²⁰.
A) Evaluate (log N)^{d−1} and N^{1/2}.
B) What are the implications for using a “low-discrepancy” point set satisfying (4.2)?
e) Outline the key ideas in using a function g which approximates f² in a variance reduction technique to estimate Var[f].
iii) In the CEV model a process S_t follows the SDE
    dS_t / S_t = μ dt + σ S_t^{γ−1} dW_t,       t ∈ (0, T],      (4.4)
where W_t is a Wiener process, μ, σ, γ are positive constants, and S₀ is given.
a) Derive an expression for S_{t+dt} from (4.4).
b) What are the key properties of a Wiener process W_t?
c) Let the time interval [0, T] be discretized by:
    t_i = iΔt,    i = 0,...,m,     Δt = T / m.
Write down the formula for a discrete approximation Ŝ_i ≈ S_{t_i},  i = 1,...,m of the CEV process (4.4).",6ia,Define the corresponding cumulative distribution function (cdf) P.
Problemsix,"i)Consider the expected value
    E[h] = ∫₀^∞ h(x)p(x) dx,
where p: ℝ → ℝ is a probability density function (pdf) with p(x) = 0 for all x < 0 and p(x) > 0 for all x > 0.
a) Define the corresponding cumulative distribution function (cdf) P.
b) What properties does P possess?
c) Use the cdf P to transform the expected value E[h] into an integral over [0, 1].
ii) Consider estimating the d-dimensional variance
    Var[f] = E[(f − μ)²] = ∫_{[0,1]^d} (f(x) − μ)² p(x) dx,        (4.1)
where p : [0,1]^d → ℝ is a probability density function (pdf) and μ = E[f] is known.
A 'low-discrepancy' point set {x₁, ..., x_N} has
    D^*(x₁,...,x_N) ≤ c_d * (log N)^{d−1} / N,                   (4.2)
where c_d is a positive constant which does not depend on N.
The Koksma–Hlawka inequality is:
    | ∫_{[0,1]^d} f(x) dx − (1/N) Σ_{k=1}^N f(x_k) | ≤ V(f) D^*(x₁,...,x_N).   (4.3)
a) Explain what the star discrepancy D^*(x₁,...,x_N) is.
b) Outline the key steps in a Monte-Carlo method to estimate (4.1).
c) Compare the integration errors when using a Monte-Carlo method with using a “low-discrepancy” point set.
d) Consider a problem with d = 20 and N = 10²⁰.
A) Evaluate (log N)^{d−1} and N^{1/2}.
B) What are the implications for using a “low-discrepancy” point set satisfying (4.2)?
e) Outline the key ideas in using a function g which approximates f² in a variance reduction technique to estimate Var[f].
iii) In the CEV model a process S_t follows the SDE
    dS_t / S_t = μ dt + σ S_t^{γ−1} dW_t,       t ∈ (0, T],      (4.4)
where W_t is a Wiener process, μ, σ, γ are positive constants, and S₀ is given.
a) Derive an expression for S_{t+dt} from (4.4).
b) What are the key properties of a Wiener process W_t?
c) Let the time interval [0, T] be discretized by:
    t_i = iΔt,    i = 0,...,m,     Δt = T / m.
Write down the formula for a discrete approximation Ŝ_i ≈ S_{t_i},  i = 1,...,m of the CEV process (4.5).",6ib,What properties does P possess?
Problemsix,"i)Consider the expected value
    E[h] = ∫₀^∞ h(x)p(x) dx,
where p: ℝ → ℝ is a probability density function (pdf) with p(x) = 0 for all x < 0 and p(x) > 0 for all x > 0.
a) Define the corresponding cumulative distribution function (cdf) P.
b) What properties does P possess?
c) Use the cdf P to transform the expected value E[h] into an integral over [0, 1].
ii) Consider estimating the d-dimensional variance
    Var[f] = E[(f − μ)²] = ∫_{[0,1]^d} (f(x) − μ)² p(x) dx,        (4.1)
where p : [0,1]^d → ℝ is a probability density function (pdf) and μ = E[f] is known.
A 'low-discrepancy' point set {x₁, ..., x_N} has
    D^*(x₁,...,x_N) ≤ c_d * (log N)^{d−1} / N,                   (4.2)
where c_d is a positive constant which does not depend on N.
The Koksma–Hlawka inequality is:
    | ∫_{[0,1]^d} f(x) dx − (1/N) Σ_{k=1}^N f(x_k) | ≤ V(f) D^*(x₁,...,x_N).   (4.3)
a) Explain what the star discrepancy D^*(x₁,...,x_N) is.
b) Outline the key steps in a Monte-Carlo method to estimate (4.1).
c) Compare the integration errors when using a Monte-Carlo method with using a “low-discrepancy” point set.
d) Consider a problem with d = 20 and N = 10²⁰.
A) Evaluate (log N)^{d−1} and N^{1/2}.
B) What are the implications for using a “low-discrepancy” point set satisfying (4.2)?
e) Outline the key ideas in using a function g which approximates f² in a variance reduction technique to estimate Var[f].
iii) In the CEV model a process S_t follows the SDE
    dS_t / S_t = μ dt + σ S_t^{γ−1} dW_t,       t ∈ (0, T],      (4.4)
where W_t is a Wiener process, μ, σ, γ are positive constants, and S₀ is given.
a) Derive an expression for S_{t+dt} from (4.4).
b) What are the key properties of a Wiener process W_t?
c) Let the time interval [0, T] be discretized by:
    t_i = iΔt,    i = 0,...,m,     Δt = T / m.
Write down the formula for a discrete approximation Ŝ_i ≈ S_{t_i},  i = 1,...,m of the CEV process (4.6).",6ic,"Use the cdf P to transform the expected value E[h] into an integral over [0, 1]."
Problemsix,"i)Consider the expected value
    E[h] = ∫₀^∞ h(x)p(x) dx,
where p: ℝ → ℝ is a probability density function (pdf) with p(x) = 0 for all x < 0 and p(x) > 0 for all x > 0.
a) Define the corresponding cumulative distribution function (cdf) P.
b) What properties does P possess?
c) Use the cdf P to transform the expected value E[h] into an integral over [0, 1].
ii) Consider estimating the d-dimensional variance
    Var[f] = E[(f − μ)²] = ∫_{[0,1]^d} (f(x) − μ)² p(x) dx,        (4.1)
where p : [0,1]^d → ℝ is a probability density function (pdf) and μ = E[f] is known.
A 'low-discrepancy' point set {x₁, ..., x_N} has
    D^*(x₁,...,x_N) ≤ c_d * (log N)^{d−1} / N,                   (4.2)
where c_d is a positive constant which does not depend on N.
The Koksma–Hlawka inequality is:
    | ∫_{[0,1]^d} f(x) dx − (1/N) Σ_{k=1}^N f(x_k) | ≤ V(f) D^*(x₁,...,x_N).   (4.3)
a) Explain what the star discrepancy D^*(x₁,...,x_N) is.
b) Outline the key steps in a Monte-Carlo method to estimate (4.1).
c) Compare the integration errors when using a Monte-Carlo method with using a “low-discrepancy” point set.
d) Consider a problem with d = 20 and N = 10²⁰.
A) Evaluate (log N)^{d−1} and N^{1/2}.
B) What are the implications for using a “low-discrepancy” point set satisfying (4.2)?
e) Outline the key ideas in using a function g which approximates f² in a variance reduction technique to estimate Var[f].
iii) In the CEV model a process S_t follows the SDE
    dS_t / S_t = μ dt + σ S_t^{γ−1} dW_t,       t ∈ (0, T],      (4.4)
where W_t is a Wiener process, μ, σ, γ are positive constants, and S₀ is given.
a) Derive an expression for S_{t+dt} from (4.4).
b) What are the key properties of a Wiener process W_t?
c) Let the time interval [0, T] be discretized by:
    t_i = iΔt,    i = 0,...,m,     Δt = T / m.
Write down the formula for a discrete approximation Ŝ_i ≈ S_{t_i},  i = 1,...,m of the CEV process (4.7).",6iia,"Explain what the star discrepancy D^*(x₁,...,x_N) is."
Problemsix,"i)Consider the expected value
    E[h] = ∫₀^∞ h(x)p(x) dx,
where p: ℝ → ℝ is a probability density function (pdf) with p(x) = 0 for all x < 0 and p(x) > 0 for all x > 0.
a) Define the corresponding cumulative distribution function (cdf) P.
b) What properties does P possess?
c) Use the cdf P to transform the expected value E[h] into an integral over [0, 1].
ii) Consider estimating the d-dimensional variance
    Var[f] = E[(f − μ)²] = ∫_{[0,1]^d} (f(x) − μ)² p(x) dx,        (4.1)
where p : [0,1]^d → ℝ is a probability density function (pdf) and μ = E[f] is known.
A 'low-discrepancy' point set {x₁, ..., x_N} has
    D^*(x₁,...,x_N) ≤ c_d * (log N)^{d−1} / N,                   (4.2)
where c_d is a positive constant which does not depend on N.
The Koksma–Hlawka inequality is:
    | ∫_{[0,1]^d} f(x) dx − (1/N) Σ_{k=1}^N f(x_k) | ≤ V(f) D^*(x₁,...,x_N).   (4.3)
a) Explain what the star discrepancy D^*(x₁,...,x_N) is.
b) Outline the key steps in a Monte-Carlo method to estimate (4.1).
c) Compare the integration errors when using a Monte-Carlo method with using a “low-discrepancy” point set.
d) Consider a problem with d = 20 and N = 10²⁰.
A) Evaluate (log N)^{d−1} and N^{1/2}.
B) What are the implications for using a “low-discrepancy” point set satisfying (4.2)?
e) Outline the key ideas in using a function g which approximates f² in a variance reduction technique to estimate Var[f].
iii) In the CEV model a process S_t follows the SDE
    dS_t / S_t = μ dt + σ S_t^{γ−1} dW_t,       t ∈ (0, T],      (4.4)
where W_t is a Wiener process, μ, σ, γ are positive constants, and S₀ is given.
a) Derive an expression for S_{t+dt} from (4.4).
b) What are the key properties of a Wiener process W_t?
c) Let the time interval [0, T] be discretized by:
    t_i = iΔt,    i = 0,...,m,     Δt = T / m.
Write down the formula for a discrete approximation Ŝ_i ≈ S_{t_i},  i = 1,...,m of the CEV process (4.8).",6iib,Outline the key steps in a Monte-Carlo method to estimate (4.1).
Problemsix,"i)Consider the expected value
    E[h] = ∫₀^∞ h(x)p(x) dx,
where p: ℝ → ℝ is a probability density function (pdf) with p(x) = 0 for all x < 0 and p(x) > 0 for all x > 0.
a) Define the corresponding cumulative distribution function (cdf) P.
b) What properties does P possess?
c) Use the cdf P to transform the expected value E[h] into an integral over [0, 1].
ii) Consider estimating the d-dimensional variance
    Var[f] = E[(f − μ)²] = ∫_{[0,1]^d} (f(x) − μ)² p(x) dx,        (4.1)
where p : [0,1]^d → ℝ is a probability density function (pdf) and μ = E[f] is known.
A 'low-discrepancy' point set {x₁, ..., x_N} has
    D^*(x₁,...,x_N) ≤ c_d * (log N)^{d−1} / N,                   (4.2)
where c_d is a positive constant which does not depend on N.
The Koksma–Hlawka inequality is:
    | ∫_{[0,1]^d} f(x) dx − (1/N) Σ_{k=1}^N f(x_k) | ≤ V(f) D^*(x₁,...,x_N).   (4.3)
a) Explain what the star discrepancy D^*(x₁,...,x_N) is.
b) Outline the key steps in a Monte-Carlo method to estimate (4.1).
c) Compare the integration errors when using a Monte-Carlo method with using a “low-discrepancy” point set.
d) Consider a problem with d = 20 and N = 10²⁰.
A) Evaluate (log N)^{d−1} and N^{1/2}.
B) What are the implications for using a “low-discrepancy” point set satisfying (4.2)?
e) Outline the key ideas in using a function g which approximates f² in a variance reduction technique to estimate Var[f].
iii) In the CEV model a process S_t follows the SDE
    dS_t / S_t = μ dt + σ S_t^{γ−1} dW_t,       t ∈ (0, T],      (4.4)
where W_t is a Wiener process, μ, σ, γ are positive constants, and S₀ is given.
a) Derive an expression for S_{t+dt} from (4.4).
b) What are the key properties of a Wiener process W_t?
c) Let the time interval [0, T] be discretized by:
    t_i = iΔt,    i = 0,...,m,     Δt = T / m.
Write down the formula for a discrete approximation Ŝ_i ≈ S_{t_i},  i = 1,...,m of the CEV process (4.9).",6iiic,Compare the integration errors when using a Monte-Carlo method with using a “low-discrepancy” point set.
Problemsix,"i)Consider the expected value
    E[h] = ∫₀^∞ h(x)p(x) dx,
where p: ℝ → ℝ is a probability density function (pdf) with p(x) = 0 for all x < 0 and p(x) > 0 for all x > 0.
a) Define the corresponding cumulative distribution function (cdf) P.
b) What properties does P possess?
c) Use the cdf P to transform the expected value E[h] into an integral over [0, 1].
ii) Consider estimating the d-dimensional variance
    Var[f] = E[(f − μ)²] = ∫_{[0,1]^d} (f(x) − μ)² p(x) dx,        (4.1)
where p : [0,1]^d → ℝ is a probability density function (pdf) and μ = E[f] is known.
A 'low-discrepancy' point set {x₁, ..., x_N} has
    D^*(x₁,...,x_N) ≤ c_d * (log N)^{d−1} / N,                   (4.2)
where c_d is a positive constant which does not depend on N.
The Koksma–Hlawka inequality is:
    | ∫_{[0,1]^d} f(x) dx − (1/N) Σ_{k=1}^N f(x_k) | ≤ V(f) D^*(x₁,...,x_N).   (4.3)
a) Explain what the star discrepancy D^*(x₁,...,x_N) is.
b) Outline the key steps in a Monte-Carlo method to estimate (4.1).
c) Compare the integration errors when using a Monte-Carlo method with using a “low-discrepancy” point set.
d) Consider a problem with d = 20 and N = 10²⁰.
A) Evaluate (log N)^{d−1} and N^{1/2}.
B) What are the implications for using a “low-discrepancy” point set satisfying (4.2)?
e) Outline the key ideas in using a function g which approximates f² in a variance reduction technique to estimate Var[f].
iii) In the CEV model a process S_t follows the SDE
    dS_t / S_t = μ dt + σ S_t^{γ−1} dW_t,       t ∈ (0, T],      (4.4)
where W_t is a Wiener process, μ, σ, γ are positive constants, and S₀ is given.
a) Derive an expression for S_{t+dt} from (4.4).
b) What are the key properties of a Wiener process W_t?
c) Let the time interval [0, T] be discretized by:
    t_i = iΔt,    i = 0,...,m,     Δt = T / m.
Write down the formula for a discrete approximation Ŝ_i ≈ S_{t_i},  i = 1,...,m of the CEV process (4.10).",6iidA,Evaluate (log N)^{d−1} and N^{1/2}.
Problemsix,"i)Consider the expected value
    E[h] = ∫₀^∞ h(x)p(x) dx,
where p: ℝ → ℝ is a probability density function (pdf) with p(x) = 0 for all x < 0 and p(x) > 0 for all x > 0.
a) Define the corresponding cumulative distribution function (cdf) P.
b) What properties does P possess?
c) Use the cdf P to transform the expected value E[h] into an integral over [0, 1].
ii) Consider estimating the d-dimensional variance
    Var[f] = E[(f − μ)²] = ∫_{[0,1]^d} (f(x) − μ)² p(x) dx,        (4.1)
where p : [0,1]^d → ℝ is a probability density function (pdf) and μ = E[f] is known.
A 'low-discrepancy' point set {x₁, ..., x_N} has
    D^*(x₁,...,x_N) ≤ c_d * (log N)^{d−1} / N,                   (4.2)
where c_d is a positive constant which does not depend on N.
The Koksma–Hlawka inequality is:
    | ∫_{[0,1]^d} f(x) dx − (1/N) Σ_{k=1}^N f(x_k) | ≤ V(f) D^*(x₁,...,x_N).   (4.3)
a) Explain what the star discrepancy D^*(x₁,...,x_N) is.
b) Outline the key steps in a Monte-Carlo method to estimate (4.1).
c) Compare the integration errors when using a Monte-Carlo method with using a “low-discrepancy” point set.
d) Consider a problem with d = 20 and N = 10²⁰.
A) Evaluate (log N)^{d−1} and N^{1/2}.
B) What are the implications for using a “low-discrepancy” point set satisfying (4.2)?
e) Outline the key ideas in using a function g which approximates f² in a variance reduction technique to estimate Var[f].
iii) In the CEV model a process S_t follows the SDE
    dS_t / S_t = μ dt + σ S_t^{γ−1} dW_t,       t ∈ (0, T],      (4.4)
where W_t is a Wiener process, μ, σ, γ are positive constants, and S₀ is given.
a) Derive an expression for S_{t+dt} from (4.4).
b) What are the key properties of a Wiener process W_t?
c) Let the time interval [0, T] be discretized by:
    t_i = iΔt,    i = 0,...,m,     Δt = T / m.
Write down the formula for a discrete approximation Ŝ_i ≈ S_{t_i},  i = 1,...,m of the CEV process (4.11).",6iidB,What are the implications for using a “low-discrepancy” point set satisfying (4.2)?
Problemsix,"i)Consider the expected value
    E[h] = ∫₀^∞ h(x)p(x) dx,
where p: ℝ → ℝ is a probability density function (pdf) with p(x) = 0 for all x < 0 and p(x) > 0 for all x > 0.
a) Define the corresponding cumulative distribution function (cdf) P.
b) What properties does P possess?
c) Use the cdf P to transform the expected value E[h] into an integral over [0, 1].
ii) Consider estimating the d-dimensional variance
    Var[f] = E[(f − μ)²] = ∫_{[0,1]^d} (f(x) − μ)² p(x) dx,        (4.1)
where p : [0,1]^d → ℝ is a probability density function (pdf) and μ = E[f] is known.
A 'low-discrepancy' point set {x₁, ..., x_N} has
    D^*(x₁,...,x_N) ≤ c_d * (log N)^{d−1} / N,                   (4.2)
where c_d is a positive constant which does not depend on N.
The Koksma–Hlawka inequality is:
    | ∫_{[0,1]^d} f(x) dx − (1/N) Σ_{k=1}^N f(x_k) | ≤ V(f) D^*(x₁,...,x_N).   (4.3)
a) Explain what the star discrepancy D^*(x₁,...,x_N) is.
b) Outline the key steps in a Monte-Carlo method to estimate (4.1).
c) Compare the integration errors when using a Monte-Carlo method with using a “low-discrepancy” point set.
d) Consider a problem with d = 20 and N = 10²⁰.
A) Evaluate (log N)^{d−1} and N^{1/2}.
B) What are the implications for using a “low-discrepancy” point set satisfying (4.2)?
e) Outline the key ideas in using a function g which approximates f² in a variance reduction technique to estimate Var[f].
iii) In the CEV model a process S_t follows the SDE
    dS_t / S_t = μ dt + σ S_t^{γ−1} dW_t,       t ∈ (0, T],      (4.4)
where W_t is a Wiener process, μ, σ, γ are positive constants, and S₀ is given.
a) Derive an expression for S_{t+dt} from (4.4).
b) What are the key properties of a Wiener process W_t?
c) Let the time interval [0, T] be discretized by:
    t_i = iΔt,    i = 0,...,m,     Δt = T / m.
Write down the formula for a discrete approximation Ŝ_i ≈ S_{t_i},  i = 1,...,m of the CEV process (4.12).",6iie,Outline the key ideas in using a function g which approximates f² in a variance reduction technique to estimate Var[f].
Problemsix,"i)Consider the expected value
    E[h] = ∫₀^∞ h(x)p(x) dx,
where p: ℝ → ℝ is a probability density function (pdf) with p(x) = 0 for all x < 0 and p(x) > 0 for all x > 0.
a) Define the corresponding cumulative distribution function (cdf) P.
b) What properties does P possess?
c) Use the cdf P to transform the expected value E[h] into an integral over [0, 1].
ii) Consider estimating the d-dimensional variance
    Var[f] = E[(f − μ)²] = ∫_{[0,1]^d} (f(x) − μ)² p(x) dx,        (4.1)
where p : [0,1]^d → ℝ is a probability density function (pdf) and μ = E[f] is known.
A 'low-discrepancy' point set {x₁, ..., x_N} has
    D^*(x₁,...,x_N) ≤ c_d * (log N)^{d−1} / N,                   (4.2)
where c_d is a positive constant which does not depend on N.
The Koksma–Hlawka inequality is:
    | ∫_{[0,1]^d} f(x) dx − (1/N) Σ_{k=1}^N f(x_k) | ≤ V(f) D^*(x₁,...,x_N).   (4.3)
a) Explain what the star discrepancy D^*(x₁,...,x_N) is.
b) Outline the key steps in a Monte-Carlo method to estimate (4.1).
c) Compare the integration errors when using a Monte-Carlo method with using a “low-discrepancy” point set.
d) Consider a problem with d = 20 and N = 10²⁰.
A) Evaluate (log N)^{d−1} and N^{1/2}.
B) What are the implications for using a “low-discrepancy” point set satisfying (4.2)?
e) Outline the key ideas in using a function g which approximates f² in a variance reduction technique to estimate Var[f].
iii) In the CEV model a process S_t follows the SDE
    dS_t / S_t = μ dt + σ S_t^{γ−1} dW_t,       t ∈ (0, T],      (4.4)
where W_t is a Wiener process, μ, σ, γ are positive constants, and S₀ is given.
a) Derive an expression for S_{t+dt} from (4.4).
b) What are the key properties of a Wiener process W_t?
c) Let the time interval [0, T] be discretized by:
    t_i = iΔt,    i = 0,...,m,     Δt = T / m.
Write down the formula for a discrete approximation Ŝ_i ≈ S_{t_i},  i = 1,...,m of the CEV process (4.13).",6iiia,Derive an expression for S_{t+dt} from (4.4).
Problemsix,"i)Consider the expected value
    E[h] = ∫₀^∞ h(x)p(x) dx,
where p: ℝ → ℝ is a probability density function (pdf) with p(x) = 0 for all x < 0 and p(x) > 0 for all x > 0.
a) Define the corresponding cumulative distribution function (cdf) P.
b) What properties does P possess?
c) Use the cdf P to transform the expected value E[h] into an integral over [0, 1].
ii) Consider estimating the d-dimensional variance
    Var[f] = E[(f − μ)²] = ∫_{[0,1]^d} (f(x) − μ)² p(x) dx,        (4.1)
where p : [0,1]^d → ℝ is a probability density function (pdf) and μ = E[f] is known.
A 'low-discrepancy' point set {x₁, ..., x_N} has
    D^*(x₁,...,x_N) ≤ c_d * (log N)^{d−1} / N,                   (4.2)
where c_d is a positive constant which does not depend on N.
The Koksma–Hlawka inequality is:
    | ∫_{[0,1]^d} f(x) dx − (1/N) Σ_{k=1}^N f(x_k) | ≤ V(f) D^*(x₁,...,x_N).   (4.3)
a) Explain what the star discrepancy D^*(x₁,...,x_N) is.
b) Outline the key steps in a Monte-Carlo method to estimate (4.1).
c) Compare the integration errors when using a Monte-Carlo method with using a “low-discrepancy” point set.
d) Consider a problem with d = 20 and N = 10²⁰.
A) Evaluate (log N)^{d−1} and N^{1/2}.
B) What are the implications for using a “low-discrepancy” point set satisfying (4.2)?
e) Outline the key ideas in using a function g which approximates f² in a variance reduction technique to estimate Var[f].
iii) In the CEV model a process S_t follows the SDE
    dS_t / S_t = μ dt + σ S_t^{γ−1} dW_t,       t ∈ (0, T],      (4.4)
where W_t is a Wiener process, μ, σ, γ are positive constants, and S₀ is given.
a) Derive an expression for S_{t+dt} from (4.4).
b) What are the key properties of a Wiener process W_t?
c) Let the time interval [0, T] be discretized by:
    t_i = iΔt,    i = 0,...,m,     Δt = T / m.
Write down the formula for a discrete approximation Ŝ_i ≈ S_{t_i},  i = 1,...,m of the CEV process (4.14).",6iiib,What are the key properties of a Wiener process W_t?
Problemsix,"i)Consider the expected value
    E[h] = ∫₀^∞ h(x)p(x) dx,
where p: ℝ → ℝ is a probability density function (pdf) with p(x) = 0 for all x < 0 and p(x) > 0 for all x > 0.
a) Define the corresponding cumulative distribution function (cdf) P.
b) What properties does P possess?
c) Use the cdf P to transform the expected value E[h] into an integral over [0, 1].
ii) Consider estimating the d-dimensional variance
    Var[f] = E[(f − μ)²] = ∫_{[0,1]^d} (f(x) − μ)² p(x) dx,        (4.1)
where p : [0,1]^d → ℝ is a probability density function (pdf) and μ = E[f] is known.
A 'low-discrepancy' point set {x₁, ..., x_N} has
    D^*(x₁,...,x_N) ≤ c_d * (log N)^{d−1} / N,                   (4.2)
where c_d is a positive constant which does not depend on N.
The Koksma–Hlawka inequality is:
    | ∫_{[0,1]^d} f(x) dx − (1/N) Σ_{k=1}^N f(x_k) | ≤ V(f) D^*(x₁,...,x_N).   (4.3)
a) Explain what the star discrepancy D^*(x₁,...,x_N) is.
b) Outline the key steps in a Monte-Carlo method to estimate (4.1).
c) Compare the integration errors when using a Monte-Carlo method with using a “low-discrepancy” point set.
d) Consider a problem with d = 20 and N = 10²⁰.
A) Evaluate (log N)^{d−1} and N^{1/2}.
B) What are the implications for using a “low-discrepancy” point set satisfying (4.2)?
e) Outline the key ideas in using a function g which approximates f² in a variance reduction technique to estimate Var[f].
iii) In the CEV model a process S_t follows the SDE
    dS_t / S_t = μ dt + σ S_t^{γ−1} dW_t,       t ∈ (0, T],      (4.4)
where W_t is a Wiener process, μ, σ, γ are positive constants, and S₀ is given.
a) Derive an expression for S_{t+dt} from (4.4).
b) What are the key properties of a Wiener process W_t?
c) Let the time interval [0, T] be discretized by:
    t_i = iΔt,    i = 0,...,m,     Δt = T / m.
Write down the formula for a discrete approximation Ŝ_i ≈ S_{t_i},  i = 1,...,m of the CEV process (4.15).",6iiic,"Let the time interval [0, T] be discretized by:
    t_i = iΔt,    i = 0,...,m,     Δt = T / m.
Write down the formula for a discrete approximation Ŝ_i ≈ S_{t_i},  i = 1,...,m of the CEV process (4.4)."
